Ano,Origem x Destino,NM_MUN_res,NM_MUN_aps,Identificação anonimizada do Requerente,dist_km,faixa_dist
2025,Caucaia (CE)  ⮕ Fortaleza (CE),Caucaia,Fortaleza,7309,29.30319817407457,Até 70 km
2025,Maracanaú (CE)  ⮕ Fortaleza (CE),Maracanaú,Fortaleza,3971,15.209933285001432,Até 70 km
2025,Maranguape (CE)  ⮕ Fortaleza (CE),Maranguape,Fortaleza,2057,32.846857435624614,Até 70 km
2025,Quixadá (CE)  ⮕ Fortaleza (CE),Quixadá,Fortaleza,1750,136.68058999221418,Mais de 70 km
2025,Juazeiro do Norte (CE)  ⮕ Crato (CE),Juazeiro do Norte,Crato,1526,24.904556970138277,Até 70 km
2025,Fortaleza (CE)  ⮕ Caucaia (CE),Fortaleza,Caucaia,1384,29.30319817407457,Até 70 km
2025,Pacajus (CE)  ⮕ Fortaleza (CE),Pacajus,Fortaleza,1373,43.59691257885078,Até 70 km
2025,Canindé (CE)  ⮕ Fortaleza (CE),Canindé,Fortaleza,1255,120.22422743043673,Mais de 70 km
2025,Russas (CE)  ⮕ Mossoró (RN),Russas,Mossoró,1205,102.47739628559276,Mais de 70 km
2025,Boa Viagem (CE)  ⮕ Fortaleza (CE),Boa Viagem,Fortaleza,1200,198.55389660725876,Mais de 70 km
2024,Caucaia (CE)  ⮕ Fortaleza (CE),Caucaia,Fortaleza,5523,29.30319817407457,Até 70 km
2024,Maracanaú (CE)  ⮕ Fortaleza (CE),Maracanaú,Fortaleza,2427,15.209933285001432,Até 70 km
2024,Maranguape (CE)  ⮕ Fortaleza (CE),Maranguape,Fortaleza,1274,32.846857435624614,Até 70 km
2024,Quixadá (CE)  ⮕ Fortaleza (CE),Quixadá,Fortaleza,1033,136.68058999221418,Mais de 70 km
2024,Itapipoca (CE)  ⮕ Fortaleza (CE),Itapipoca,Fortaleza,1022,129.5355732218997,Mais de 70 km
2024,Juazeiro do Norte (CE)  ⮕ Crato (CE),Juazeiro do Norte,Crato,984,24.904556970138277,Até 70 km
2024,Boa Viagem (CE)  ⮕ Fortaleza (CE),Boa Viagem,Fortaleza,909,198.55389660725876,Mais de 70 km
2024,Canindé (CE)  ⮕ Fortaleza (CE),Canindé,Fortaleza,810,120.22422743043673,Mais de 70 km
2024,Pacajus (CE)  ⮕ Fortaleza (CE),Pacajus,Fortaleza,770,43.59691257885078,Até 70 km
2024,Pacatuba (CE)  ⮕ Fortaleza (CE),Pacatuba,Fortaleza,749,19.42492781847276,Até 70 km
2023,Caucaia (CE)  ⮕ Fortaleza (CE),Caucaia,Fortaleza,2176,29.30319817407457,Até 70 km
2023,Maracanaú (CE)  ⮕ Fortaleza (CE),Maracanaú,Fortaleza,1461,15.209933285001432,Até 70 km
2023,Boa Viagem (CE)  ⮕ Fortaleza (CE),Boa Viagem,Fortaleza,815,198.55389660725876,Mais de 70 km
2023,Itapipoca (CE)  ⮕ Fortaleza (CE),Itapipoca,Fortaleza,781,129.5355732218997,Mais de 70 km
